12:54:06 (host: shas0205, pid: 132840) matmul(matrix(57), matrix(56))
12:54:06 (host: shas0205, pid: 132840) matmul(matrix(57), matrix(57))
12:54:07 (host: shas0205, pid: 132840) matmul(matrix(57), matrix(58))
12:54:07 (host: shas0205, pid: 132840) matmul(matrix(57), matrix(59))
12:54:07 (host: shas0205, pid: 132840) matmul(matrix(58), matrix(50))
12:54:07 (host: shas0205, pid: 132840) matmul(matrix(58), matrix(51))
12:54:08 (host: shas0205, pid: 132840) matmul(matrix(58), matrix(52))
12:54:08 (host: shas0205, pid: 132840) matmul(matrix(58), matrix(53))
12:54:08 (host: shas0205, pid: 132840) matmul(matrix(58), matrix(54))
12:54:08 (host: shas0205, pid: 132840) matmul(matrix(58), matrix(55))
12:54:09 (host: shas0205, pid: 132840) matmul(matrix(58), matrix(56))
12:54:09 (host: shas0205, pid: 132840) matmul(matrix(58), matrix(57))
12:54:09 (host: shas0205, pid: 132840) matmul(matrix(58), matrix(58))
12:54:10 (host: shas0205, pid: 132840) matmul(matrix(58), matrix(59))
12:54:10 (host: shas0205, pid: 132840) matmul(matrix(59), matrix(50))
12:54:10 (host: shas0205, pid: 132840) matmul(matrix(59), matrix(51))
12:54:11 (host: shas0205, pid: 132840) matmul(matrix(59), matrix(52))
12:54:11 (host: shas0205, pid: 132840) matmul(matrix(59), matrix(53))
12:54:11 (host: shas0205, pid: 132840) matmul(matrix(59), matrix(54))
12:54:12 (host: shas0205, pid: 132840) matmul(matrix(59), matrix(55))
12:54:12 (host: shas0205, pid: 132840) matmul(matrix(59), matrix(56))
12:54:12 (host: shas0205, pid: 132840) matmul(matrix(59), matrix(57))
12:54:13 (host: shas0205, pid: 132840) matmul(matrix(59), matrix(58))
12:54:13 (host: shas0205, pid: 132840) matmul(matrix(59), matrix(59))
12:53:40 (host: shas0205, pid: 132842) matmul(matrix(70), matrix(70))
12:53:40 (host: shas0205, pid: 132842) matmul(matrix(70), matrix(71))
12:53:40 (host: shas0205, pid: 132842) matmul(matrix(70), matrix(72))
12:53:40 (host: shas0205, pid: 132842) matmul(matrix(70), matrix(73))
12:53:41 (host: shas0205, pid: 132842) matmul(matrix(70), matrix(74))
12:53:41 (host: shas0205, pid: 132842) matmul(matrix(70), matrix(75))
12:53:41 (host: shas0205, pid: 132842) matmul(matrix(70), matrix(76))
12:53:41 (host: shas0205, pid: 132842) matmul(matrix(70), matrix(77))
12:53:41 (host: shas0205, pid: 132842) matmul(matrix(70), matrix(78))
12:53:42 (host: shas0205, pid: 132842) matmul(matrix(70), matrix(79))
12:53:42 (host: shas0205, pid: 132842) matmul(matrix(71), matrix(70))
12:53:42 (host: shas0205, pid: 132842) matmul(matrix(71), matrix(71))
12:53:42 (host: shas0205, pid: 132842) matmul(matrix(71), matrix(72))
12:53:42 (host: shas0205, pid: 132842) matmul(matrix(71), matrix(73))
12:53:43 (host: shas0205, pid: 132842) matmul(matrix(71), matrix(74))
12:53:43 (host: shas0205, pid: 132842) matmul(matrix(71), matrix(75))
12:53:43 (host: shas0205, pid: 132842) matmul(matrix(71), matrix(76))
12:53:43 (host: shas0205, pid: 132842) matmul(matrix(71), matrix(77))
12:53:44 (host: shas0205, pid: 132842) matmul(matrix(71), matrix(78))
12:53:44 (host: shas0205, pid: 132842) matmul(matrix(71), matrix(79))
12:53:45 (host: shas0205, pid: 132842) matmul(matrix(72), matrix(70))
12:53:45 (host: shas0205, pid: 132842) matmul(matrix(72), matrix(71))
12:53:45 (host: shas0205, pid: 132842) matmul(matrix(72), matrix(72))
12:53:45 (host: shas0205, pid: 132842) matmul(matrix(72), matrix(73))
12:53:45 (host: shas0205, pid: 132842) matmul(matrix(72), matrix(74))
12:53:45 (host: shas0205, pid: 132842) matmul(matrix(72), matrix(75))
12:53:46 (host: shas0205, pid: 132842) matmul(matrix(72), matrix(76))
12:53:46 (host: shas0205, pid: 132842) matmul(matrix(72), matrix(77))
12:53:46 (host: shas0205, pid: 132842) matmul(matrix(72), matrix(78))
12:53:47 (host: shas0205, pid: 132842) matmul(matrix(72), matrix(79))
12:53:47 (host: shas0205, pid: 132842) matmul(matrix(73), matrix(70))
12:53:48 (host: shas0205, pid: 132842) matmul(matrix(73), matrix(71))
12:53:48 (host: shas0205, pid: 132842) matmul(matrix(73), matrix(72))
12:53:48 (host: shas0205, pid: 132842) matmul(matrix(73), matrix(73))
12:53:49 (host: shas0205, pid: 132842) matmul(matrix(73), matrix(74))
12:53:50 (host: shas0205, pid: 132842) matmul(matrix(73), matrix(75))
12:53:50 (host: shas0205, pid: 132842) matmul(matrix(73), matrix(76))
12:53:51 (host: shas0205, pid: 132842) matmul(matrix(73), matrix(77))
12:53:51 (host: shas0205, pid: 132842) matmul(matrix(73), matrix(78))
12:53:52 (host: shas0205, pid: 132842) matmul(matrix(73), matrix(79))
12:53:52 (host: shas0205, pid: 132842) matmul(matrix(74), matrix(70))
12:53:53 (host: shas0205, pid: 132842) matmul(matrix(74), matrix(71))
12:53:53 (host: shas0205, pid: 132842) matmul(matrix(74), matrix(72))
12:53:54 (host: shas0205, pid: 132842) matmul(matrix(74), matrix(73))
12:53:54 (host: shas0205, pid: 132842) matmul(matrix(74), matrix(74))
12:53:55 (host: shas0205, pid: 132842) matmul(matrix(74), matrix(75))
12:53:55 (host: shas0205, pid: 132842) matmul(matrix(74), matrix(76))
12:53:55 (host: shas0205, pid: 132842) matmul(matrix(74), matrix(77))
12:53:56 (host: shas0205, pid: 132842) matmul(matrix(74), matrix(78))
12:53:56 (host: shas0205, pid: 132842) matmul(matrix(74), matrix(79))
12:53:56 (host: shas0205, pid: 132842) matmul(matrix(75), matrix(70))
12:53:57 (host: shas0205, pid: 132842) matmul(matrix(75), matrix(71))
12:53:57 (host: shas0205, pid: 132842) matmul(matrix(75), matrix(72))
12:53:57 (host: shas0205, pid: 132842) matmul(matrix(75), matrix(73))
12:53:58 (host: shas0205, pid: 132842) matmul(matrix(75), matrix(74))
12:53:58 (host: shas0205, pid: 132842) matmul(matrix(75), matrix(75))
12:53:58 (host: shas0205, pid: 132842) matmul(matrix(75), matrix(76))
12:53:59 (host: shas0205, pid: 132842) matmul(matrix(75), matrix(77))
12:53:59 (host: shas0205, pid: 132842) matmul(matrix(75), matrix(78))
12:53:59 (host: shas0205, pid: 132842) matmul(matrix(75), matrix(79))
12:54:00 (host: shas0205, pid: 132842) matmul(matrix(76), matrix(70))
12:54:01 (host: shas0205, pid: 132842) matmul(matrix(76), matrix(71))
12:54:01 (host: shas0205, pid: 132842) matmul(matrix(76), matrix(72))
12:54:02 (host: shas0205, pid: 132842) matmul(matrix(76), matrix(73))
12:54:02 (host: shas0205, pid: 132842) matmul(matrix(76), matrix(74))
12:54:02 (host: shas0205, pid: 132842) matmul(matrix(76), matrix(75))
12:54:03 (host: shas0205, pid: 132842) matmul(matrix(76), matrix(76))
12:54:03 (host: shas0205, pid: 132842) matmul(matrix(76), matrix(77))
